stationId	latitude	longitude	precipitation
IMONSC5	50.588562	6.251996	121.91999999999999
IMONSC12	50.569655	6.228538	123.19
IROETG4	50.638	6.21	237.49
ISIMME99	50.625717	6.311499	154.18
ISIMME13	50.624507	6.33397	154.70999999999998
ISIMME7	50.624001	6.338	158.20999999999998
ISIMME72	50.626	6.356	139.19
ISIMMERA15	50.625832	6.355576	139.19
INIDEG3	50.64446	6.41574	30.990000000000002
IHEIMB6	50.637	6.455	157.48
IHEIMB2	50.633999	6.463	136.12
IINCOU4	50.73	4.76	45.22
ICHAUM2	50.702	4.735	56.9
IJODOI2	50.722539	4.863485	33.019999999999996
IGREZD1	50.731296	4.740903	36.06
IJODOI6	50.717	4.875	33.519999999999996
IJODOI3	50.705687	4.913861	38.86
IWALENIN2	50.693619	4.929011	6.1
IORPJA2	50.703335	4.930379	33.78
IJODOI5	50.731	4.878	34.8
IORPJAUC3	50.680641	4.98048	36.83
IHANNUT5	50.692959	5.023301	41.61
IRGIONWA31	50.712982	5.035172	40.9
ILINCE2	50.726	5.011	36.07
ILANDE3	50.725506	5.08607	37.620000000000005
IGEER6	50.671429	5.169496	57.160000000000004
IBERLO7	50.696644	5.225805	58.7
IGINGE2	50.722	5.201	45.510000000000005
IWAREM1	50.696817	5.284254	47.980000000000004
IREMIC2	50.67859	5.332469	72.14
IRGIONWA118	50.722042	5.346043	54.35
IHEERS3	50.769249	5.321218	48.52
IAWANS6	50.699825	5.439408	56.89
IANS30	50.701172	5.487029	58.68
ITONGE1	50.750999	5.447	77.00999999999999
IJUPRE2	50.725259	5.514389	63.5
ITONGE5	50.751999	5.499	77.19
IHERST3	50.673	5.593	77.8
IOUPEY1	50.710796	5.641251	49.78
IHERST5	50.667	5.599	65.78
IOUPEY3	50.71	5.651	86.59
ILIGE68	50.654072	5.634042	32.51
IVIS21	50.727978	5.701215	117.12
IHERVE52	50.681916	5.82077	124.79
IHERVE16	50.6763	5.792198	123.19
IAUBEL12	50.711	5.846	96.77
IHERVE105	50.665312	5.752249	130.56
IDALHE7	50.74	5.735	122.68
IHERVE98	50.641953	5.824091	128.78
IVOEREN8	50.722759	5.891942	111.71
IWELKE4	50.673469	5.923455	196.6
IPLOMB3	50.726519	5.924047	122.88
IPLOMB4	50.716015	5.9794	125.0
ILACAL12	50.721	6.013	107.44
ILACALAM3	50.708328	6.036449	149.35
IKELMI1	50.725	6.018	113.79
IRAERE2	50.698002	6.048	162.59
IAACHE21	50.719	6.039	27.69
IRAERE5	50.689	6.086	122.89
IRAERE12	50.684	6.094	88.39
IRAERE11	50.71314	6.121418	127.25999999999999
IWALHAUS2	50.704399	6.057881	153.92
IAACHE48	50.705274	6.180314	147.5
ISTOLB3	50.709999	6.215	187.2
ISTOLB13	50.711	6.215	178.99
IAACHE49	50.712652	6.184902	140.72
IROETG13	50.683	6.206	185.93
IAACHEN132	50.711575	6.17896	132.07999999999998
ISTOLB25	50.72	6.264	92.96000000000001
INORDRHE79	50.683201	6.35963	120.59
IHRTGE1	50.709999	6.373	145.82
IKREUZ4	50.717999	6.435	130.0
INIDEG7	50.665069	6.411179	118.35999999999999
